image,label,mal,ben,sel
ISIC_0010491,2,0.1824951171875,0.8173828125,0.395263671875
ISIC_0012086_downsampled,2,0.09307861328125,0.90673828125,0.9892578125
ISIC_0012090_downsampled,2,0.99169921875,0.0084686279296875,1.0
ISIC_0012103_downsampled,2,0.004337310791015625,0.99560546875,1.0
ISIC_0012117_downsampled,2,0.5927734375,0.4072265625,4.976987838745117e-05
ISIC_0012134_downsampled,2,0.7529296875,0.2471923828125,0.484619140625
ISIC_0012136_downsampled,2,0.33056640625,0.66943359375,0.0026721954345703125
ISIC_0012143_downsampled,2,0.06439208984375,0.935546875,0.998046875
ISIC_0012155_downsampled,2,0.2320556640625,0.76806640625,0.33251953125
ISIC_0012170_downsampled,2,0.87451171875,0.1256103515625,0.99853515625
ISIC_0012172_downsampled,2,0.71240234375,0.28759765625,0.19091796875
ISIC_0012173_downsampled,2,0.11810302734375,0.8818359375,0.94189453125
ISIC_0012178_downsampled,2,0.2166748046875,0.783203125,0.048309326171875
ISIC_0012183_downsampled,2,0.7724609375,0.2275390625,0.80810546875
ISIC_0012199_downsampled,2,0.619140625,0.381103515625,1.1920928955078125e-07
ISIC_0012204_downsampled,2,0.036102294921875,0.9638671875,1.0
ISIC_0012207_downsampled,2,0.1500244140625,0.85009765625,0.63525390625
ISIC_0012210_downsampled,2,0.103271484375,0.896484375,0.95751953125
ISIC_0012214_downsampled,2,0.017578125,0.982421875,1.0
ISIC_0012215_downsampled,2,0.24462890625,0.75537109375,0.0330810546875
ISIC_0012217_downsampled,2,0.6875,0.312744140625,4.76837158203125e-07
ISIC_0012223_downsampled,2,0.36083984375,0.63916015625,1.2099742889404297e-05
ISIC_0012224_downsampled,2,0.58251953125,0.41748046875,0.2105712890625
ISIC_0012227_downsampled,2,0.515625,0.484375,2.980232238769531e-07
ISIC_0012237_downsampled,2,0.328369140625,0.67138671875,5.829334259033203e-05
ISIC_0012238_downsampled,2,0.1734619140625,0.82666015625,0.393798828125
ISIC_0012240_downsampled,2,0.623046875,0.377197265625,0.0010395050048828125
ISIC_0012245_downsampled,2,0.6953125,0.3046875,0.052886962890625
ISIC_0012248_downsampled,2,0.447021484375,0.552734375,0.00514984130859375
ISIC_0012254_downsampled,2,0.6279296875,0.3720703125,1.5437602996826172e-05
ISIC_0012265_downsampled,2,0.58642578125,0.41357421875,0.0016603469848632812
ISIC_0012266_downsampled,2,0.97216796875,0.027984619140625,1.0
ISIC_0012272_downsampled,2,0.0350341796875,0.96484375,1.0
ISIC_0012273_downsampled,2,0.406494140625,0.59326171875,0.0023822784423828125
